D006394, MSH, DOID:0001816
C3088, NCI, DOID:0001816
C9275, NCI, DOID:0001816
33176006, SNOMEDCT_US_2015_03_01, DOID:0001816
39000009, SNOMEDCT_US_2015_03_01, DOID:0001816
403977003, SNOMEDCT_US_2015_03_01, DOID:0001816
C0018923, UMLS_CUI, DOID:0001816
C0854893, UMLS_CUI, DOID:0001816
H11.0, ICD10CM, DOID:0002116
H11.00, ICD10CM, DOID:0002116
H11.009, ICD10CM, DOID:0002116
372.4, ICD9CM, DOID:0002116
372.40, ICD9CM, DOID:0002116
D011625, MSH, DOID:0002116
155165000, SNOMEDCT_US_2015_03_01, DOID:0002116
193879003, SNOMEDCT_US_2015_03_01, DOID:0002116
193884009, SNOMEDCT_US_2015_03_01, DOID:0002116
77489003, SNOMEDCT_US_2015_03_01, DOID:0002116
C0033999, UMLS_CUI, DOID:0002116
E88.9, ICD10CM, DOID:0014667
277.9, ICD9CM, DOID:0014667
D008659, MSH, DOID:0014667
C3235, NCI, DOID:0014667
154733004, SNOMEDCT_US_2015_03_01, DOID:0014667
190961002, SNOMEDCT_US_2015_03_01, DOID:0014667
267456000, SNOMEDCT_US_2015_03_01, DOID:0014667
30390004, SNOMEDCT_US_2015_03_01, DOID:0014667
75934005, SNOMEDCT_US_2015_03_01, DOID:0014667
C0025517, UMLS_CUI, DOID:0014667
301990003, SNOMEDCT_US_2015_03_01, DOID:0050004
C0578661, UMLS_CUI, DOID:0050004
079.0, ICD9CM, DOID:0050117
C0001485, UMLS_CUI, DOID:0050117
A83.5, ICD10CM, DOID:0050118
062.5, ICD9CM, DOID:0050118
D004670, MSH, DOID:0050118
186588007, SNOMEDCT_US_2015_03_01, DOID:0050118
266103004, SNOMEDCT_US_2015_03_01, DOID:0050118
416442006, SNOMEDCT_US_2015_03_01, DOID:0050118
417075004, SNOMEDCT_US_2015_03_01, DOID:0050118
418531007, SNOMEDCT_US_2015_03_01, DOID:0050118
69627004, SNOMEDCT_US_2015_03_01, DOID:0050118
C0014053, UMLS_CUI, DOID:0050118
D76.1, ICD10CM, DOID:0050120
288.4, ICD9CM, DOID:0050120
D051359, MSH, DOID:0050120
C34792, NCI, DOID:0050120
C35439, NCI, DOID:0050120
267700, OMIM, DOID:0050120
603552, OMIM, DOID:0050120
603553, OMIM, DOID:0050120
608898, OMIM, DOID:0050120
613101, OMIM, DOID:0050120
127069007, SNOMEDCT_US_2015_03_01, DOID:0050120
190958003, SNOMEDCT_US_2015_03_01, DOID:0050120
234437005, SNOMEDCT_US_2015_03_01, DOID:0050120
C0024291, UMLS_CUI, DOID:0050120
614371, OMIM, DOID:0050125
J01, ICD10CM, DOID:0050127
J01.9, ICD10CM, DOID:0050127
J01.90, ICD10CM, DOID:0050127
461, ICD9CM, DOID:0050127
461.9, ICD9CM, DOID:0050127
155498004, SNOMEDCT_US_2015_03_01, DOID:0050127
155501004, SNOMEDCT_US_2015_03_01, DOID:0050127
15805002, SNOMEDCT_US_2015_03_01, DOID:0050127
195649005, SNOMEDCT_US_2015_03_01, DOID:0050127
195653007, SNOMEDCT_US_2015_03_01, DOID:0050127
266378004, SNOMEDCT_US_2015_03_01, DOID:0050127
C0149512, UMLS_CUI, DOID:0050127
B36.9, ICD10CM, DOID:0050133
D010854, MSH, DOID:0050133
154408001, SNOMEDCT_US_2015_03_01, DOID:0050133
187002008, SNOMEDCT_US_2015_03_01, DOID:0050133
187476003, SNOMEDCT_US_2015_03_01, DOID:0050133
266218008, SNOMEDCT_US_2015_03_01, DOID:0050133
276206000, SNOMEDCT_US_2015_03_01, DOID:0050133
402135006, SNOMEDCT_US_2015_03_01, DOID:0050133
47382004, SNOMEDCT_US_2015_03_01, DOID:0050133
C0031898, UMLS_CUI, DOID:0050133
C2980104, UMLS_CUI, DOID:0050133
D007619, MSH, DOID:0050144
C84797, NCI, DOID:0050144
42402006, SNOMEDCT_US_2015_03_01, DOID:0050144
86204009, SNOMEDCT_US_2015_03_01, DOID:0050144
C0022521, UMLS_CUI, DOID:0050144
J35.02, ICD10CM, DOID:0050145
474.01, ICD9CM, DOID:0050145
195794009, SNOMEDCT_US_2015_03_01, DOID:0050145
232420002, SNOMEDCT_US_2015_03_01, DOID:0050145
C0396023, UMLS_CUI, DOID:0050145
J04, ICD10CM, DOID:0050148
J04.2, ICD10CM, DOID:0050148
J37.1, ICD10CM, DOID:0050148
464, ICD9CM, DOID:0050148
464.2, ICD9CM, DOID:0050148
476.1, ICD9CM, DOID:0050148
155505008, SNOMEDCT_US_2015_03_01, DOID:0050148
155508005, SNOMEDCT_US_2015_03_01, DOID:0050148
195679003, SNOMEDCT_US_2015_03_01, DOID:0050148
195694004, SNOMEDCT_US_2015_03_01, DOID:0050148
195697006, SNOMEDCT_US_2015_03_01, DOID:0050148
195703007, SNOMEDCT_US_2015_03_01, DOID:0050148
276443001, SNOMEDCT_US_2015_03_01, DOID:0050148
64375000, SNOMEDCT_US_2015_03_01, DOID:0050148
83271005, SNOMEDCT_US_2015_03_01, DOID:0050148
C0155811, UMLS_CUI, DOID:0050148
C0155837, UMLS_CUI, DOID:0050148
J69.0, ICD10CM, DOID:0050152
D011015, MSH, DOID:0050152
422588002, SNOMEDCT_US_2015_03_01, DOID:0050152
47839005, SNOMEDCT_US_2015_03_01, DOID:0050152
C0032290, UMLS_CUI, DOID:0050152
0000768, EFO, DOID:0050156
J84.112, ICD10CM, DOID:0050156
516.31, ICD9CM, DOID:0050156
D054990, MSH, DOID:0050156
C35715, NCI, DOID:0050156
C35716, NCI, DOID:0050156
178500, OMIM, DOID:0050156
196125002, SNOMEDCT_US_2015_03_01, DOID:0050156
233721005, SNOMEDCT_US_2015_03_01, DOID:0050156
237121003, SNOMEDCT_US_2015_03_01, DOID:0050156
28168000, SNOMEDCT_US_2015_03_01, DOID:0050156
426437004, SNOMEDCT_US_2015_03_01, DOID:0050156
C1800706, UMLS_CUI, DOID:0050156
J84.116, ICD10CM, DOID:0050157
516.36, ICD9CM, DOID:0050157
