DOID:0001816, 1, angiosarcoma, Term, DOID:1115
DOID:0001816, 1, hemangiosarcoma,  EXACT [], DOID:1115
DOID:0002116, 1, pterygium, Term, DOID:10124
DOID:0014667, 1, disease of metabolism, Term, DOID:4
DOID:0014667, 1, metabolic disease ,  EXACT [SNOMEDCT_2005_07_31:75934005], DOID:4
DOID:0050001, 1, Actinomadura madurae infectious disease, Term, 
DOID:0050002, 1, Actinomadura pelletieri infectious disease, Term, 
DOID:0050003, 1, Streptomyces somaliensis infectious disease, Term, 
DOID:0050004, 1, seminal vesicle acute gonorrhea, Term, DOID:10400
DOID:0050007, 1, cutaneous strongyloidiasis, Term, 
DOID:0050009, 1, intestinal strongyloidiasis, Term, 
DOID:0050010, 1, Mansonella perstans infectious disease, Term, 
DOID:0050011, 1, Mansonella streptocerca infectious disease, Term, 
DOID:0050012, 1, chikungunya, Term, DOID:934
DOID:0050012, 1, Chikungunya fever,  EXACT [], DOID:934
DOID:0050013, 1, carbohydrate metabolism disease, Term, DOID:0060158
DOID:0050014, 1, epizootic hemorrhagic disease, Term, 
DOID:0050014, 1, EHD,  RELATED [], 
DOID:0050015, 1, Rocio virus encephalitis, Term, 
DOID:0050024, 1, Ehrlichia ewingii ehrlichiosis, Term, 
DOID:0050025, 1, human granulocytic anaplasmosis, Term, DOID:10242
DOID:0050025, 1, HGE,  RELATED [], DOID:10242
DOID:0050025, 1, human granulocytic ehrlichiosis,  EXACT [], DOID:10242
DOID:0050026, 1, human monocytic ehrlichiosis, Term, DOID:10242
DOID:0050026, 1, Ehrlichiosis chafeensis,  RELATED [], DOID:10242
DOID:0050032, 1, mineral metabolism disease, Term, DOID:0060158
DOID:0050035, 1, African tick-bite fever, Term, DOID:11104
DOID:0050035, 1, Rickettsia africae spotted fever,  EXACT [], DOID:11104
DOID:0050035, 1, south african tick-bite fever,  EXACT [], DOID:11104
DOID:0050041, 1, Astrakhan spotted fever, Term, DOID:11104
DOID:0050042, 1, Indian tick typhus, Term, DOID:11104
DOID:0050043, 1, Israeli tick typhus, Term, DOID:11104
DOID:0050043, 1, Israeli spotted fever,  RELATED [], DOID:11104
DOID:0050046, 1, Far Eastern spotted fever, Term, DOID:11104
DOID:0050046, 1, Rickettsia heilongjiangensis spotted fever,  EXACT [], DOID:11104
DOID:0050047, 1, Flinders Island spotted fever, Term, DOID:11104
DOID:0050047, 1, FISF,  RELATED [], DOID:11104
DOID:0050047, 1, Thai tick typhus,  EXACT [], DOID:11104
DOID:0050050, 1, Japanese spotted fever, Term, DOID:11104
DOID:0050050, 1, oriental spotted fever,  EXACT [], DOID:11104
DOID:0050050, 1, Rickettsia japonica spotted fever,  EXACT [], DOID:11104
DOID:0050051, 1, Rickettsia parkeri spotted fever, Term, DOID:11104
DOID:0050051, 1, maculatum infection,  EXACT [], DOID:11104
DOID:0050052, 1, Rocky Mountain spotted fever, Term, DOID:11104
DOID:0050052, 1, Brazillian spotted,  RELATED [], DOID:11104
DOID:0050052, 1, Choix,  RELATED [], DOID:11104
DOID:0050052, 1, Exanthematic typhus of Sao Paulo,  RELATED [], DOID:11104
DOID:0050052, 1, Fiebre maculosa,  RELATED [], DOID:11104
DOID:0050052, 1, Fiebre manchada,  RELATED [], DOID:11104
DOID:0050052, 1, Sao Paulo typhus,  RELATED [], DOID:11104
DOID:0050052, 1, So Paulo fever,  RELATED [], DOID:11104
DOID:0050052, 1, Tick typhus ,  RELATED [], DOID:11104
DOID:0050052, 1, Tobia fever,  RELATED [], DOID:11104
DOID:0050053, 1, Rickettsia honei spotted fever, Term, 
DOID:0050059, 1, oropharyngeal anthrax, Term, DOID:13386
DOID:0050061, 1, erysipeloid, Term, DOID:0050338
DOID:0050063, 1, abortive plague, Term, 
DOID:0050065, 1, cutaneous listeriosis, Term, 
DOID:0050066, 1, Listeria meningoencephalitis, Term, 
DOID:0050067, 1, Listeria septicaemia, Term, 
DOID:0050068, 1, pestis minor, Term, DOID:10773
DOID:0050069, 1, Yersinia pestis infectious disease, Term, 
DOID:0050070, 1, plague meningitis, Term, 
DOID:0050072, 1, adiaspiromycosis, Term, DOID:0050292
DOID:0050073, 1, invasive aspergillosis, Term, DOID:13564
DOID:0050074, 1, tonsillar aspergillosis, Term, 
DOID:0050075, 1, pulmonary blastomycosis, Term, 
DOID:0050078, 1, cervix tuberculosis, Term, 
DOID:0050079, 1, niacin deficiency, Term, 
DOID:0050080, 1, iodine deficiency, Term, 
DOID:0050082, 1, hepatic Torque teno virus infectious disease, Term, 
DOID:0050082, 1, human circovirus infectious disease,  RELATED [], 
DOID:0050082, 1, Transfussion-transmitted virus liver infection,  EXACT [], 
DOID:0050082, 1, TT virus liver infection,  EXACT [], 
DOID:0050083, 1, Keshan disease, Term, DOID:5113
DOID:0050084, 1, rhinotracheitis, Term, DOID:974
DOID:0050084, 1, feline coryza,  EXACT [], DOID:974
DOID:0050084, 1, feline influenza,  EXACT [], DOID:974
DOID:0050084, 1, Feline viral rhinotracheitis,  EXACT [], DOID:974
DOID:0050085, 1, entomophthoromycosis, Term, 
DOID:0050086, 1, cutaneous mucormycosis, Term, 
DOID:0050088, 1, gastrointestinal mucormycosis, Term, 
DOID:0050089, 1, pulmonary mucormycosis, Term, 
DOID:0050090, 1, rhinocerebral mucormycosis, Term, 
DOID:0050091, 1, disseminated paracoccidioidomycosis, Term, 
DOID:0050092, 1, pulmonary paracoccidioidomycosis, Term, 
DOID:0050093, 1, disseminated sporotrichosis, Term, 
DOID:0050094, 1, lymphocutaneous sporotrichosis, Term, 
DOID:0050095, 1, pulmonary sporotrichosis, Term, 
DOID:0050096, 1, tinea barbae, Term, DOID:8913
DOID:0050096, 1, dermatophytosis of beard,  EXACT [], DOID:8913
DOID:0050097, 1, ectothrix infectious disease, Term, DOID:4337
DOID:0050098, 1, Microsporum audouinii tinea capitis, Term, 
DOID:0050099, 1, Microsporum canis tinea capitis, Term, 
DOID:0050100, 1, Microsporum distortum tinea capitis, Term, 
DOID:0050101, 1, Microsporum ferrugineum tinea capitis, Term, 
DOID:0050102, 1, Microsporum gypseum tinea capitis, Term, 
DOID:0050103, 1, Microsporum nanum tinea capitis, Term, 
DOID:0050104, 1, Trichophyton verrucosum tinea capitis, Term, 
DOID:0050105, 1, endothrix infectious disease, Term, DOID:4337
DOID:0050106, 1, Trichophyton soudanense tinea capitis, Term, 
DOID:0050107, 1, Trichophyton tonsurans tinea capitis, Term, 
DOID:0050108, 1, Trichophyton violaceum tinea capitis, Term, 
DOID:0050110, 1, Trichophyton schoenleinii tinea capitis, Term, 
DOID:0050111, 1, Microsporum fulvum tinea capitis, Term, 
DOID:0050112, 1, Trichophyton megninii tinea capitis, Term, 
DOID:0050113, 1, Trichophyton equinum tinea capitis, Term, 
DOID:0050115, 1, Trichophyton yaoundei tinea capitis, Term, 
DOID:0050116, 1, tinea imbricata, Term, DOID:12179
DOID:0050117, 1, disease by infectious agent, Term, DOID:4
DOID:0050117, 1, infectious disease,  EXACT [], DOID:4
DOID:0050118, 1, La Crosse encephalitis, Term, DOID:934
DOID:0050118, 1, California Encephalitis,  EXACT [MTHICD9_2006:062.5], DOID:934
DOID:0050118, 1, California virus encephalitis,  EXACT [], DOID:934
DOID:0050118, 1, Neuroinvasive California encephalitis virus infection,  EXACT [SNOMEDCT_2005_07_31:417075004], DOID:934
DOID:0050119, 1, West Nile virus neurological syndrome, Term, 
DOID:0050119, 1, West nile neuroinvasive disease,  EXACT [], 
DOID:0050119, 1, WNND,  EXACT [], 
DOID:0050119, 1, WNNS,  EXACT [], 
DOID:0050120, 1, hemophagocytic lymphohistiocytosis, Term, DOID:75
DOID:0050120, 1, haemophagocytic syndrome,  EXACT [], DOID:75
DOID:0050120, 1, Hemophagocytic lymphohistiocytosis, familial, 2,  RELATED [MSH:C537250], DOID:75
DOID:0050120, 1, Hemophagocytic syndrome,  EXACT [NCI2004_11_17:C35439], DOID:75
DOID:0050120, 1, HPS,  EXACT [], DOID:75
DOID:0050123, 1, tuberculous encephalitis, Term, 
DOID:0050125, 1, dengue shock syndrome, Term, DOID:12205
DOID:0050125, 1, DSS,  EXACT [], DOID:12205
DOID:0050126, 1, Tahyna virus encephalitis, Term, 
DOID:0050126, 1, Tahyna virus infection,  RELATED [], 
DOID:0050126, 1, valtice fever,  EXACT [], 
DOID:0050127, 1, sinusitis, Term, DOID:1352
DOID:0050129, 1, secretory diarrhea, Term, DOID:13250
DOID:0050130, 1, osmotic diarrhea, Term, DOID:13250
DOID:0050131, 1, motility-related diarrhea, Term, DOID:13250
DOID:0050132, 1, inflammatory diarrhea, Term, DOID:13250
